Country,Indicator,Sex,Education Level,Wealth Quintile,Residence,Value,Time,GDP
Colombia,Out-of-school rate for children of primary school age,Total,Primary education,Highest,Total,1.696648,2015,13330.56204
Colombia,Out-of-school rate for children of primary school age,Total,Primary education,Total,ural,2.287648,2015,13330.56204
Colombia,Out-of-school rate for children of primary school age,Total,Primary education,Total,rban,1.755765,2015,13330.56204
Colombia,Out-of-school rate for children of primary school age,Total,Primary education,Total,Total,1.910353,2015,13330.56204
Colombia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,42.07952,2013,12799.50832
Colombia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,52.5274,2013,12799.50832
Colombia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,47.67022,2013,12799.50832
Colombia,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,56.64905,2013,12799.50832
Colombia,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,54.09737,2013,12799.50832
Colombia,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,55.27374,2013,12799.50832
Costa Rica,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,95.65652,2018,21283.9527
Costa Rica,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,95.63883,2018,21283.9527
Costa Rica,Adjusted net attendance rate for children of primary school age,Total,Primary education,Lowest,Total,95.92825,2018,21283.9527
Costa Rica,Adjusted net attendance rate for children of primary school age,Total,Primary education,Second,Total,95.74007,2018,21283.9527
Costa Rica,Adjusted net attendance rate for children of primary school age,Total,Primary education,Middle,Total,93.92855,2018,21283.9527
Costa Rica,Adjusted net attendance rate for children of primary school age,Total,Primary education,Fourth,Total,95.25165,2018,21283.9527
Costa Rica,Adjusted net attendance rate for children of primary school age,Total,Primary education,Highest,Total,97.89262,2018,21283.9527
Costa Rica,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,ural,96.15637,2018,21283.9527
Costa Rica,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,rban,95.39663,2018,21283.9527
Costa Rica,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,Total,95.64747,2018,21283.9527
Costa Rica,mpletion rate for children of primary school age,Female,Primary education,Total,Total,98.63787,2018,21283.9527
Costa Rica,mpletion rate for children of primary school age,Male,Primary education,Total,Total,97.71503,2018,21283.9527
Costa Rica,mpletion rate for children of primary school age,Total,Primary education,Lowest,Total,94.87884,2018,21283.9527
Costa Rica,mpletion rate for children of primary school age,Total,Primary education,Second,Total,98.9398,2018,21283.9527
Costa Rica,mpletion rate for children of primary school age,Total,Primary education,Middle,Total,98.1723,2018,21283.9527
Costa Rica,mpletion rate for children of primary school age,Total,Primary education,Fourth,Total,99.43243,2018,21283.9527
Costa Rica,mpletion rate for children of primary school age,Total,Primary education,Highest,Total,100,2018,21283.9527
Costa Rica,mpletion rate for children of primary school age,Total,Primary education,Total,ural,97.85191,2018,21283.9527
Costa Rica,mpletion rate for children of primary school age,Total,Primary education,Total,rban,98.30724,2018,21283.9527
Costa Rica,mpletion rate for children of primary school age,Total,Primary education,Total,Total,98.15336,2018,21283.9527
Costa Rica,Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,1.33984,2018,21283.9527
Costa Rica,Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,1.349028,2018,21283.9527
Costa Rica,Out-of-school rate for children of primary school age,Total,Primary education,Lowest,Total,1.264019,2018,21283.9527
Costa Rica,Out-of-school rate for children of primary school age,Total,Primary education,Second,Total,1.822037,2018,21283.9527
Costa Rica,Out-of-school rate for children of primary school age,Total,Primary education,Middle,Total,1.536188,2018,21283.9527
Costa Rica,Out-of-school rate for children of primary school age,Total,Primary education,Fourth,Total,1.280279,2018,21283.9527
Costa Rica,Out-of-school rate for children of primary school age,Total,Primary education,Highest,Total,0.4230316,2018,21283.9527
Costa Rica,Out-of-school rate for children of primary school age,Total,Primary education,Total,ural,1.151127,2018,21283.9527
Costa Rica,Out-of-school rate for children of primary school age,Total,Primary education,Total,rban,1.439879,2018,21283.9527
Costa Rica,Out-of-school rate for children of primary school age,Total,Primary education,Total,Total,1.344544,2018,21283.9527
Costa Rica,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,56.82473,2013,15542.36837
Costa Rica,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,63.20804,2013,15542.36837
Costa Rica,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,60.09143,2013,15542.36837
Costa Rica,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,69.54931,2013,15542.36837
Costa Rica,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,67.15937,2013,15542.36837
Costa Rica,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,68.29535,2013,15542.36837
Czechia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,77.39211,2015,33909.30928
Czechia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,79.41916,2015,33909.30928
Czechia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,78,2019,42857.22938
Czechia,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,97.97584,2016,36101.28559
Czechia,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,96.13597,2016,36101.28559
Czechia,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,97.03947,2016,36101.28559
Germany,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,76.02794,2015,47609.55716
Germany,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,77.33704,2015,47609.55716
Germany,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,75,2019,55652.87782
Germany,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,96.17979,2016,50579.48372
Germany,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,94.80321,2016,50579.48372
Germany,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,94.50745,2016,50579.48372
Spain,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,64.85658,2015,34929.20969
Spain,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,69.94062,2015,34929.20969
Spain,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,65,2019,41721.2222
Spain,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,97.57467,2016,37313.63491
Spain,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,95.67968,2016,37313.63491
Spain,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,96.56866,2016,37313.63491
Finland,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,85.18339,2015,42490.21111
Finland,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,79.42611,2015,42490.21111
Finland,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,78,2019,50321.58885
Finland,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,98.92597,2016,44934.4882
Finland,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,97.65054,2016,44934.4882
Finland,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,98.28993,2016,44934.4882
France,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,57.04231,2015,40829.89332
France,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,59.02802,2015,40829.89332
France,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,57,2019,48800.18585
France,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,94.67617,2016,42855.94456
France,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,92.79399,2016,42855.94456
France,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,93.71542,2016,42855.94456
United Kingdom,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,83,2019,49070.33313
United Kingdom,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,96.83,2016,44610.56565
Hungary,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,74.55678,2015,26806.59529
Hungary,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,75.25922,2015,26806.59529
Hungary,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,74,2019,33514.94181
Hungary,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,97.744,2016,27947.63758
Hungary,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,96.54117,2016,27947.63758
Hungary,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,97.13811,2016,27947.63758
Indonesia,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,94.24142,2017,11050.88237
Indonesia,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,92.72046,2017,11050.88237
Indonesia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Lowest,Total,90.19269,2017,11050.88237
Indonesia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Second,Total,93.71507,2017,11050.88237
Indonesia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Middle,Total,93.8429,2017,11050.88237
Indonesia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Fourth,Total,94.67331,2017,11050.88237
Indonesia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Highest,Total,95.05477,2017,11050.88237
Indonesia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,ural,92.80408,2017,11050.88237
Indonesia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,rban,94.1811,2017,11050.88237
Indonesia,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,Total,93.46085,2017,11050.88237
Indonesia,mpletion rate for children of primary school age,Female,Primary education,Total,Total,97.64319,2017,11050.88237
Indonesia,mpletion rate for children of primary school age,Male,Primary education,Total,Total,95.69702,2017,11050.88237
Indonesia,mpletion rate for children of primary school age,Total,Primary education,Lowest,Total,91.37315,2017,11050.88237
Indonesia,mpletion rate for children of primary school age,Total,Primary education,Second,Total,97.20703,2017,11050.88237
Indonesia,mpletion rate for children of primary school age,Total,Primary education,Middle,Total,96.9033,2017,11050.88237
Indonesia,mpletion rate for children of primary school age,Total,Primary education,Fourth,Total,97.83305,2017,11050.88237
Indonesia,mpletion rate for children of primary school age,Total,Primary education,Highest,Total,99.51337,2017,11050.88237
Indonesia,mpletion rate for children of primary school age,Total,Primary education,Total,ural,95.40079,2017,11050.88237
Indonesia,mpletion rate for children of primary school age,Total,Primary education,Total,rban,97.76572,2017,11050.88237
Indonesia,mpletion rate for children of primary school age,Total,Primary education,Total,Total,96.63795,2017,11050.88237
Indonesia,Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,1.233953,2017,11050.88237
Indonesia,Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,1.708545,2017,11050.88237
Indonesia,Out-of-school rate for children of primary school age,Total,Primary education,Lowest,Total,3.313284,2017,11050.88237
Indonesia,Out-of-school rate for children of primary school age,Total,Primary education,Second,Total,1.937817,2017,11050.88237
Indonesia,Out-of-school rate for children of primary school age,Total,Primary education,Middle,Total,0.6871631,2017,11050.88237
Indonesia,Out-of-school rate for children of primary school age,Total,Primary education,Fourth,Total,0.9830912,2017,11050.88237
Indonesia,Out-of-school rate for children of primary school age,Total,Primary education,Highest,Total,0.3971008,2017,11050.88237
Indonesia,Out-of-school rate for children of primary school age,Total,Primary education,Total,ural,2.017482,2017,11050.88237
Indonesia,Out-of-school rate for children of primary school age,Total,Primary education,Total,rban,0.8853658,2017,11050.88237
Indonesia,Out-of-school rate for children of primary school age,Total,Primary education,Total,Total,1.477518,2017,11050.88237
Indonesia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,17.84914,2015,10364.39728
Indonesia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,17.24821,2015,10364.39728
Indonesia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Total,Primary education,Total,Total,17.53671,2015,10364.39728
Indonesia,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,70.90413,2011,9213.212404
Indonesia,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,61.53024,2011,9213.212404
Indonesia,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Total,Primary education,Total,Total,66.2271,2011,9213.212404
India,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,95.1,2016,5789.404696
India,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,95.4,2016,5789.404696
India,Adjusted net attendance rate for children of primary school age,Total,Primary education,Lowest,Total,89.4,2016,5789.404696
India,Adjusted net attendance rate for children of primary school age,Total,Primary education,Second,Total,95.7,2016,5789.404696
India,Adjusted net attendance rate for children of primary school age,Total,Primary education,Middle,Total,97.2,2016,5789.404696
India,Adjusted net attendance rate for children of primary school age,Total,Primary education,Fourth,Total,98.3,2016,5789.404696
India,Adjusted net attendance rate for children of primary school age,Total,Primary education,Highest,Total,99.1,2016,5789.404696
India,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,ural,94.7,2016,5789.404696
India,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,rban,96.6,2016,5789.404696
India,Adjusted net attendance rate for children of primary school age,Total,Primary education,Total,Total,95.2,2016,5789.404696
India,mpletion rate for children of primary school age,Female,Primary education,Total,Total,91.347,2016,5789.404696
India,mpletion rate for children of primary school age,Male,Primary education,Total,Total,91.546,2016,5789.404696
India,mpletion rate for children of primary school age,Total,Primary education,Lowest,Total,80.299,2016,5789.404696
India,mpletion rate for children of primary school age,Total,Primary education,Second,Total,91.054,2016,5789.404696
India,mpletion rate for children of primary school age,Total,Primary education,Middle,Total,94.239,2016,5789.404696
India,mpletion rate for children of primary school age,Total,Primary education,Fourth,Total,96.361,2016,5789.404696
India,mpletion rate for children of primary school age,Total,Primary education,Highest,Total,98.532,2016,5789.404696
India,mpletion rate for children of primary school age,Total,Primary education,Total,ural,90.558,2016,5789.404696
India,mpletion rate for children of primary school age,Total,Primary education,Total,rban,93.445,2016,5789.404696
India,mpletion rate for children of primary school age,Total,Primary education,Total,Total,91.451,2016,5789.404696
India,Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,6.1,2016,5789.404696
India,Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,5.8,2016,5789.404696
India,Out-of-school rate for children of primary school age,Total,Primary education,Lowest,Total,12.6,2016,5789.404696
India,Out-of-school rate for children of primary school age,Total,Primary education,Second,Total,5.5,2016,5789.404696
India,Out-of-school rate for children of primary school age,Total,Primary education,Middle,Total,3.6,2016,5789.404696
India,Out-of-school rate for children of primary school age,Total,Primary education,Fourth,Total,2.5,2016,5789.404696
India,Out-of-school rate for children of primary school age,Total,Primary education,Highest,Total,1.1,2016,5789.404696
